Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4007","Ammonia, anhydrous","2022","2022","t","9.2","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4007","Ammonia, anhydrous","2022","2022","1000 USD","14.53","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4007","Ammonia, anhydrous","2019","2019","t","2216818.96","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4007","Ammonia, anhydrous","2020","2020","t","1454215.88","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4007","Ammonia, anhydrous","2021","2021","t","2455878.08","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4007","Ammonia, anhydrous","2022","2022","t","2150176.35","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4007","Ammonia, anhydrous","2023","2023","t","1512357.92","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4007","Ammonia, anhydrous","2019","2019","1000 USD","643029.47","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4007","Ammonia, anhydrous","2020","2020","1000 USD","357684.27","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4007","Ammonia, anhydrous","2021","2021","1000 USD","1374293.51","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4007","Ammonia, anhydrous","2022","2022","1000 USD","2527693.12","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4007","Ammonia, anhydrous","2023","2023","1000 USD","765316.01","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4003","Ammonium nitrate (AN)","2019","2019","t","47.77","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4003","Ammonium nitrate (AN)","2020","2020","t","10843.21","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4003","Ammonium nitrate (AN)","2021","2021","t","10118.3","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4003","Ammonium nitrate (AN)","2022","2022","t","0.23","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4003","Ammonium nitrate (AN)","2023","2023","t","0.01","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4003","Ammonium nitrate (AN)","2019","2019","1000 USD","360.37","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4003","Ammonium nitrate (AN)","2020","2020","1000 USD","3085.33","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4003","Ammonium nitrate (AN)","2021","2021","1000 USD","2690.01","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4003","Ammonium nitrate (AN)","2022","2022","1000 USD","8.82","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4003","Ammonium nitrate (AN)","2023","2023","1000 USD","1.85","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4003","Ammonium nitrate (AN)","2019","2019","t","0.05","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4003","Ammonium nitrate (AN)","2019","2019","1000 USD","0.4","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4002","Ammonium sulphate","2019","2019","t","17772.97","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4002","Ammonium sulphate","2020","2020","t","28879.58","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4002","Ammonium sulphate","2021","2021","t","34446.5","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4002","Ammonium sulphate","2022","2022","t","854.1","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4002","Ammonium sulphate","2023","2023","t","49109.87","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4002","Ammonium sulphate","2019","2019","1000 USD","3111.23","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4002","Ammonium sulphate","2020","2020","1000 USD","4408.2","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4002","Ammonium sulphate","2021","2021","1000 USD","6182.46","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4002","Ammonium sulphate","2022","2022","1000 USD","490.06","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4002","Ammonium sulphate","2023","2023","1000 USD","11572.49","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4002","Ammonium sulphate","2023","2023","t","33","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4002","Ammonium sulphate","2023","2023","1000 USD","14.78","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","t","42.46","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2022","2022","t","42.42","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","1000 USD","123.51","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2022","2022","1000 USD","39.33","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5910","Export quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","t","8800.08","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5922","Export value","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","1000 USD","1825.42","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4022","Diammonium phosphate (DAP)","2019","2019","t","3191.16","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4022","Diammonium phosphate (DAP)","2020","2020","t","2982.16","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4022","Diammonium phosphate (DAP)","2021","2021","t","0.01","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4022","Diammonium phosphate (DAP)","2022","2022","t","5952.02","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5610","Import quantity","4022","Diammonium phosphate (DAP)","2023","2023","t","1327.17","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4022","Diammonium phosphate (DAP)","2019","2019","1000 USD","1237.36","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5622","Import value","4022","Diammonium phosphate (DAP)","2020","2020","1000 USD","830.34","I","Imputed value"
