 Area Code, M49 Code, Area
5100,'002,Africa
4,'012,Algeria
7,'024,Angola
53,'204,Benin
20,'072,Botswana
233,'854,Burkina Faso
29,'108,Burundi
32,'120,Cameroon
37,'140,Central African Republic
39,'148,Chad
45,'174,Comoros
46,'178,Congo
107,'384,Côte d'Ivoire
250,'180,Democratic Republic of the Congo
72,'262,Djibouti
59,'818,Egypt
61,'226,Equatorial Guinea
178,'232,Eritrea
209,'748,Eswatini
238,'231,Ethiopia
74,'266,Gabon
75,'270,Gambia
81,'288,Ghana
90,'324,Guinea
175,'624,Guinea-Bissau
114,'404,Kenya
122,'426,Lesotho
123,'430,Liberia
124,'434,Libya
129,'450,Madagascar
130,'454,Malawi
133,'466,Mali
136,'478,Mauritania
137,'480,Mauritius
143,'504,Morocco
144,'508,Mozambique
147,'516,Namibia
158,'562,Niger
159,'566,Nigeria
182,'638,Réunion
184,'646,Rwanda
193,'678,Sao Tome and Principe
195,'686,Senegal
197,'694,Sierra Leone
201,'706,Somalia
277,'728,South Sudan
276,'729,Sudan
217,'768,Togo
