Pays,Rendement FAO dispo,Fertilisation FAO dispo,Météo + sol dispo,Années communes
Algeria,✅,✅,❌,[]
Angola,✅,✅,❌,[]
Benin,✅,✅,❌,[]
Botswana,✅,✅,❌,[]
Burkina Faso,✅,✅,❌,[]
Burundi,✅,✅,❌,[]
Cameroon,✅,✅,❌,[]
Central African Republic,✅,✅,❌,[]
Chad,✅,✅,❌,[]
Comoros,✅,✅,❌,[]
Congo,✅,✅,❌,[]
Côte d'Ivoire,✅,✅,❌,[]
Democratic Republic of the Congo,✅,✅,❌,[]
Djibouti,✅,✅,❌,[]
Egypt,✅,✅,❌,[]
Equatorial Guinea,✅,✅,❌,[]
Eritrea,✅,✅,❌,[]
Eswatini,✅,✅,❌,[]
Ethiopia,✅,✅,❌,[]
Gabon,✅,✅,❌,[]
Gambia,✅,✅,✅,[2021]
Ghana,✅,✅,❌,[]
Guinea,✅,✅,✅,"[2021, 2023]"
Guinea-Bissau,✅,✅,❌,[]
Kenya,✅,✅,❌,[]
Lesotho,✅,✅,❌,[]
Liberia,✅,✅,❌,[]
Libya,✅,✅,❌,[]
Madagascar,✅,✅,❌,[]
Malawi,✅,✅,❌,[]
Mali,✅,✅,✅,"[2021, 2022]"
Mauritania,✅,✅,✅,"[2021, 2023]"
Mauritius,✅,✅,❌,[]
Morocco,✅,✅,❌,[]
Mozambique,✅,✅,❌,[]
Namibia,✅,✅,❌,[]
Niger,✅,✅,❌,[]
Nigeria,✅,✅,❌,[]
Rwanda,✅,✅,❌,[]
Sao Tome and Principe,✅,✅,❌,[]
Senegal,✅,✅,✅,"[2021, 2022, 2023]"
Sierra Leone,✅,✅,❌,[]
Somalia,✅,❌,❌,[]
South Sudan,✅,✅,❌,[]
Sudan,✅,✅,❌,[]
Togo,✅,✅,❌,[]
nan,❌,✅,❌,[]
