field_id,date,ph,moisture,temperature,conductivity,nitrogen,phosphorus,potassium,organic_matter
Champ_A,2025-05-12,6.7,52.2,24.3,1.43,42.2,29.3,221.1,3.13
Champ_A,2025-05-13,6.8,32.0,11.1,1.03,40.6,28.9,216.6,2.37
Champ_A,2025-05-14,7.04,52.3,18.3,0.77,42.0,28.5,214.2,3.8
Champ_A,2025-05-15,6.63,51.5,15.6,1.76,43.6,26.1,233.9,2.52
Champ_A,2025-05-16,6.79,31.5,12.7,1.26,45.8,28.6,224.5,3.26
Champ_A,2025-05-17,6.45,46.4,16.2,1.52,44.6,24.7,228.9,3.19
Champ_A,2025-05-18,6.61,62.3,22.1,1.48,41.1,27.6,229.0,4.28
Champ_A,2025-05-19,6.65,52.8,13.6,0.84,46.1,31.0,225.0,4.3
Champ_A,2025-05-20,6.82,47.3,19.4,1.66,43.5,31.4,199.5,4.16
Champ_A,2025-05-21,6.77,51.4,18.4,0.6,43.0,29.0,240.5,3.09
Champ_A,2025-05-22,6.59,49.0,21.7,1.3,42.0,29.3,226.7,4.27
Champ_A,2025-05-23,6.61,51.1,16.4,0.76,44.5,28.8,225.7,3.31
Champ_A,2025-05-24,6.47,50.0,16.6,0.96,43.1,29.0,244.6,3.64
Champ_A,2025-05-25,6.8,54.1,10.3,1.19,43.8,33.2,223.8,3.74
Champ_A,2025-05-26,6.74,41.0,22.6,1.43,46.0,26.4,239.7,2.38
Champ_A,2025-05-27,6.87,81.3,14.0,1.03,43.9,27.2,210.2,3.55
Champ_A,2025-05-28,6.54,60.7,14.3,1.66,41.3,27.6,233.8,2.52
Champ_A,2025-05-29,6.79,70.7,11.6,1.26,44.4,29.8,213.3,2.44
Champ_A,2025-05-30,6.85,58.6,19.0,1.3,41.6,28.7,228.6,2.93
Champ_A,2025-05-31,7.12,60.7,13.2,1.4,40.7,29.8,237.3,2.84
Champ_A,2025-06-01,6.94,60.0,21.3,1.77,42.9,26.7,216.8,2.85
Champ_A,2025-06-02,6.73,59.1,19.1,1.45,43.7,31.1,223.0,5.68
Champ_A,2025-06-03,6.87,44.7,13.7,1.34,42.9,29.7,230.4,3.44
Champ_A,2025-06-04,6.58,36.8,16.2,1.46,44.3,25.7,227.4,3.81
Champ_A,2025-06-05,6.57,56.8,18.2,0.86,44.7,29.4,236.5,4.34
Champ_A,2025-06-06,6.47,43.7,20.1,1.35,45.2,35.9,231.4,4.41
Champ_A,2025-06-07,6.94,62.8,16.7,1.43,41.3,27.8,220.8,3.57
