element,image_path,caption,diagnostic,recommandation
Mn,deficiencies/Mn\1.jpg,a close up of a leaf with brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\10.jpg,a plant with the names of the names of each plants,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\11.jpg,a close up of a plant with green leaves and brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\12.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\13.jpg,a close up of a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\14.jpg,a col of photos showing the leaves and the leaves of a cannabis plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\15.jpg,a close up of a leaf with a green background,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\16.jpg,a leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\17.jpg,a close up of a tomato plant with green leaves and brown spots on the leaves - stock photo,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\18.jpg,a close up of a leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\19.jpg,the leaves of the plant are yellow and green,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\2.jpg,a close up of a leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\20.jpg,four different types of leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\21.jpg,a person holding a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\22.jpg,a leaf with yellow leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\23.jpg,a selection of leaves with yellow and green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\24.jpg,a green leaf on a tree branch,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\25.jpg,a leaf with yellow spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\26.jpg,a young tomato plant growing in the garden - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\27.jpg,a close up of a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\28.jpg,magnesium vs magnesium deficiency,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\29.jpg,how to treat magnesium deficiency plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\3.jpg,a person holding a leaf in their hand,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\30.jpg,a close up of a leaf with brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\31.jpg,"a leaf with the words, ` ` ' and ` '",Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\32.jpg,a green leaf with a small leaf on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\33.jpg,a close up of a leaf with black spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\34.jpg,a pot filled with soil and a plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\35.jpg,a leaf with the letter f on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\36.jpg,a plant with yellow spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\37.jpg,a close up of a green leaf with black spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\38.jpg,a close up of a leaf on a plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\39.jpg,a leaf with green leaves on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\4.jpg,a close up of a leaf with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\40.jpg,a close up of a yellow leaf with brown spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\41.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\42.jpg,a close up of a plant with water droplets,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\43.jpg,a close up of a green leaf with yellow leaves in the background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\44.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\45.jpg,a hand holding a marijuana plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\46.jpg,a green plant with leaves and brown spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\47.jpg,a diagram of the plant ' s life cycle,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\48.jpg,a leaf with a few leaves on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\49.jpg,a close up of a green leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\5.jpg,a close up of a leaf with white spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\50.jpg,a plant with brown spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\51.jpg,a plant with seeds and leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\52.jpg,a green leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\53.jpg,a close up of a leaf with a blury background,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\54.jpg,"a plant with a sign on it that says, ' m '",Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\55.jpg,a diagram of the different types of leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\56.jpg,a close up of a green leaf with white background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\57.jpg,a close up of a leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\58.jpg,four images of marijuana leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\59.jpg,a bunch of avocas growing on a tree,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\6.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\60.jpg,a plant with leaves and leaves that have been eaten,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\61.jpg,green leaves stock photo image of plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\62.jpg,a leaf with a yellow and green pattern,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\63.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\64.jpg,the plant life cycle,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\65.jpg,a close up of a plant with green leaves on a black background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\66.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\67.jpg,a bunch of leaves with the names of different plants,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\7.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\8.jpg,a man in a lab coat is looking at a marijuana plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\9.jpg,a tree with leaves and the words ronald ' s defence,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Zn,deficiencies/Zn\1.jpg,a close up of a plant with green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\10.jpg,a close up of a green leaf on a bush - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\11.jpg,a col of four photos showing the different leaves and leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\12.jpg,a close up of a green plant with leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\13.jpg,a leaf with a white spot on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\14.jpg,a leaf with a brown substance on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\15.jpg,a plant with leaves and leaves on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\16.jpg,a series of photos showing the different stages of the plant,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\17.jpg,a bunch of leaves and a bunch of leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\18.jpg,a close up of a plant with yellow flowers,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\19.jpg,a close up of a leaf with a green background,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\2.jpg,a small green plant with leaves and leaves on a black background - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
