soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_soc_30-60cm,soil_soc_60-100cm,soil_soc_100-200cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_cec_30-60cm,soil_cec_60-100cm,soil_cec_100-200cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_phh2o_30-60cm,soil_phh2o_60-100cm,soil_phh2o_100-200cm,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_clay_30-60cm,soil_clay_60-100cm,soil_clay_100-200cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_silt_30-60cm,soil_silt_60-100cm,soil_silt_100-200cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_sand_30-60cm,soil_sand_60-100cm,soil_sand_100-200cm,soil_Longitude,soil_Latitude,soil_index_right,soil_Country,soil_soil_Longitude,soil_soil_Latitude,Country,Latitude,Longitude,PRECTOTCORR_-12.84,IMERG_PRECTOT_-12.84,PS_-12.84,WS2M_-12.84,WS2M_MAX_-12.84,DATE,PRECTOTCORR_-14.84,IMERG_PRECTOT_-14.84,PS_-14.84,WS2M_-14.84,WS2M_MAX_-14.84,PRECTOTCORR_-16.84,IMERG_PRECTOT_-16.84,PS_-16.84,WS2M_-16.84,WS2M_MAX_-16.84
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.28,1.96,3.37,2021-01-01,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.19,2.23,3.3,2021-01-02,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.22,1.96,3.02,2021-01-03,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.26,2.42,4.04,2021-01-04,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.25,3.21,5.14,2021-01-05,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.27,3.09,3.9,2021-01-06,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.26,2.47,3.68,2021-01-07,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.29,1.59,2.8,2021-01-08,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.27,2.81,4.68,2021-01-09,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.25,3.76,5.18,2021-01-10,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.32,3.9,5.88,2021-01-11,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.4,3.58,4.7,2021-01-12,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.45,3.59,5.25,2021-01-13,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.41,3.64,5.04,2021-01-14,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.36,3.99,5.52,2021-01-15,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.26,4.19,5.98,2021-01-16,,,,,,,,,,
