soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_soc_30-60cm,soil_soc_60-100cm,soil_soc_100-200cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_cec_30-60cm,soil_cec_60-100cm,soil_cec_100-200cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_phh2o_30-60cm,soil_phh2o_60-100cm,soil_phh2o_100-200cm,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_clay_30-60cm,soil_clay_60-100cm,soil_clay_100-200cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_silt_30-60cm,soil_silt_60-100cm,soil_silt_100-200cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_sand_30-60cm,soil_sand_60-100cm,soil_sand_100-200cm,soil_Longitude,soil_Latitude,soil_index_right,soil_Country,soil_soil_Longitude,soil_soil_Latitude,Country,Latitude,Longitude,PRECTOTCORR_-11.13,IMERG_PRECTOT_-11.13,PS_-11.13,WS2M_-11.13,WS2M_MAX_-11.13,DATE,PRECTOTCORR_-13.13,IMERG_PRECTOT_-13.13,PS_-13.13,WS2M_-13.13,WS2M_MAX_-13.13,PRECTOTCORR_-15.13,IMERG_PRECTOT_-15.13,PS_-15.13,WS2M_-15.13,WS2M_MAX_-15.13,PRECTOTCORR_-7.130000000000001,IMERG_PRECTOT_-7.130000000000001,PS_-7.130000000000001,WS2M_-7.130000000000001,WS2M_MAX_-7.130000000000001,PRECTOTCORR_-9.13,IMERG_PRECTOT_-9.13,PS_-9.13,WS2M_-9.13,WS2M_MAX_-9.13,WS10M_RANGE_-11.13,WD10M_-11.13,GWETTOP_-11.13,GWETROOT_-11.13,GWETPROF_-11.13,WS10M_RANGE_-13.13,WD10M_-13.13,GWETTOP_-13.13,GWETROOT_-13.13,GWETPROF_-13.13,WS10M_RANGE_-15.13,WD10M_-15.13,GWETTOP_-15.13,GWETROOT_-15.13,GWETPROF_-15.13,WS10M_RANGE_-7.13,WD10M_-7.13,GWETTOP_-7.13,GWETROOT_-7.13,GWETPROF_-7.13,WS10M_RANGE_-9.13,WD10M_-9.13,GWETTOP_-9.13,GWETROOT_-9.13,GWETPROF_-9.13,PRECTOTCORR_-12.68,IMERG_PRECTOT_-12.68,PS_-12.68,WS2M_-12.68,WS2M_MAX_-12.68,PRECTOTCORR_-14.68,IMERG_PRECTOT_-14.68,PS_-14.68,WS2M_-14.68,WS2M_MAX_-14.68,PRECTOTCORR_-16.68,IMERG_PRECTOT_-16.68,PS_-16.68,WS2M_-16.68,WS2M_MAX_-16.68
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.95,2.29,3.26,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.85,2.14,3.93,2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.87,1.85,2.95,2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.91,2.02,3.16,2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.92,2.76,4.88,2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.94,2.67,4.18,2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.94,2.77,5.0,2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.93,1.88,2.78,2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.87,2.02,3.41,2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,158.0,93.0,56.0,44.0,36.0,93,93,95,93,90,91,60,59,57,57,58,58,288,275,355,356,350,351,254,251,233,234,232,236,458,474,412,411,417.0,413.0,-11.12900347613572,13.309594771515062,52.0,Mali,-11.129,13.3096,Guinea,13.31,-11.13,0.0,-999.0,98.87,3.33,5.05,2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
