soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_soc_30-60cm,soil_soc_60-100cm,soil_soc_100-200cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_cec_30-60cm,soil_cec_60-100cm,soil_cec_100-200cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_phh2o_30-60cm,soil_phh2o_60-100cm,soil_phh2o_100-200cm,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_clay_30-60cm,soil_clay_60-100cm,soil_clay_100-200cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_silt_30-60cm,soil_silt_60-100cm,soil_silt_100-200cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_sand_30-60cm,soil_sand_60-100cm,soil_sand_100-200cm,soil_Longitude,soil_Latitude,soil_index_right,soil_Country,soil_soil_Longitude,soil_soil_Latitude,Country,Latitude,Longitude,PRECTOTCORR_-0.16999999999999993,IMERG_PRECTOT_-0.16999999999999993,PS_-0.16999999999999993,WS2M_-0.16999999999999993,WS2M_MAX_-0.16999999999999993,DATE,WS10M_RANGE_-0.17,WD10M_-0.17,GWETTOP_-0.17,GWETROOT_-0.17,GWETPROF_-0.17,PRECTOTCORR_-10.17,IMERG_PRECTOT_-10.17,PS_-10.17,WS2M_-10.17,WS2M_MAX_-10.17,PRECTOTCORR_-12.17,IMERG_PRECTOT_-12.17,PS_-12.17,WS2M_-12.17,WS2M_MAX_-12.17,PRECTOTCORR_-2.17,IMERG_PRECTOT_-2.17,PS_-2.17,WS2M_-2.17,WS2M_MAX_-2.17,PRECTOTCORR_-4.17,IMERG_PRECTOT_-4.17,PS_-4.17,WS2M_-4.17,WS2M_MAX_-4.17,PRECTOTCORR_-6.17,IMERG_PRECTOT_-6.17,PS_-6.17,WS2M_-6.17,WS2M_MAX_-6.17,PRECTOTCORR_-8.17,IMERG_PRECTOT_-8.17,PS_-8.17,WS2M_-8.17,WS2M_MAX_-8.17,PRECTOTCORR_1.83,IMERG_PRECTOT_1.83,PS_1.83,WS2M_1.83,WS2M_MAX_1.83,PRECTOTCORR_3.83,IMERG_PRECTOT_3.83,PS_3.83,WS2M_3.83,WS2M_MAX_3.83,PRECTOTCORR_5.83,IMERG_PRECTOT_5.83,PS_5.83,WS2M_5.83,WS2M_MAX_5.83
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-01,,,,,,0.0,-999.0,96.12,1.6,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-02,,,,,,0.0,-999.0,96.03,1.54,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-03,,,,,,0.0,-999.0,96.04,0.92,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-04,,,,,,0.0,-999.0,96.07,1.98,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-05,,,,,,0.0,-999.0,96.08,2.5,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-06,,,,,,0.0,-999.0,96.12,2.53,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-07,,,,,,0.0,-999.0,96.15,2.69,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-08,,,,,,0.0,-999.0,96.12,1.5,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-09,,,,,,0.0,-999.0,96.06,1.28,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,217.0,121.0,94.0,86.0,85.0,143,140,137,140,140,140,60,59,58,58,58,59,238,278,323,369,379,376,315,298,285,267,264,265,447,424,392,364,357.0,359.0,-10.241917133067693,12.100297155615506,52.0,Mali,-10.2419,12.1003,Mali,12.1,-10.17,,,,,,2021-01-10,,,,,,0.0,-999.0,96.0,1.89,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
